城市,年份,数量
青岛,2003,2323
萧山,2004,423
中山,2005,2288
自贡,2006,2121
乌鲁木齐,2007,278
聊城,2007,2
常州,2008,4616
济南,2008,214
成都,2008,246
厦门,2008,269
大连,2008,273
广州,2009,1313
桂林,2009,2
苏州,2009,2500
澳门,2011,200
兰州,2011,131
泰州,2011,3232
济宁,2011,1000
昆明,2011,4785
连云港,2012,5656
天津,2012,186
上海,2012,243
富阳,2012,630
富阳,2012,700
绵阳,2012,1247
柳州,2013,1034
扬州,2013,4263
石家庄,2013,1533
宜昌,2014,186
阳泉,2014,503
攀枝花,2014,648
赣州,2014,700
西宁,2014,1703
金华,2015,126
南昌,2015,257
六安,2015,400
深圳,2015,400
白银,2015,600
伊宁,2015,600
佛山,2015,1000
余杭,2015,1290
潍坊,2015,1302
杭州,2015,6325
呼和浩特,2016,175
贵阳,2016,216
南宁,2016,4646
四平,2016,6162
营口,2016,700
柯桥,2016,767
南京,2017,300
绍兴,2017,900
珠海,2017,1000
唐山,2017,3000
抚州,2018,207
哈尔滨,2018,1600
